id,load,bs,reward
140,10,1,-28.781005859375
141,10,1,-44.847900390625
142,10,1,-51.9560546875
143,10,1,-32.505859375
144,10,1,-29.27099609375
145,10,1,-30.12890625
146,10,1,-32.52685546875
147,10,1,-35.152099609375
148,10,1,-33.191162109375
149,10,1,-38.90185546875
150,10,1,-69.922607421875
151,10,1,-29.251708984375
152,10,1,-36.912109375
153,10,1,-40.167724609375
154,10,1,-33.6337890625
155,10,1,-39.49609375
156,10,1,-37.509033203125
157,10,1,-32.728271484375
158,10,1,-36.918212890625
159,10,1,-35.016357421875
160,10,1,-34.87646484375
161,10,1,-37.66748046875
162,10,1,-33.90283203125
163,10,1,-29.4794921875
164,10,1,-28.46484375
165,10,1,-43.95654296875
166,10,1,-29.51904296875
167,10,1,-33.912109375
168,10,1,-53.621826171875
169,10,1,-47.798583984375
170,10,1,-68.173583984375
171,10,1,-33.03125
172,10,1,-38.934814453125
173,10,1,-32.657470703125
174,10,1,-38.064453125
175,10,1,-30.409912109375
176,10,1,-35.02001953125
177,10,1,-44.959716796875
178,10,1,-27.50341796875
179,10,1,-42.7626953125
180,10,1,-65.8818359375
181,10,1,-60.28076171875
182,10,1,-37.9453125
183,10,1,-29.603759765625
184,10,1,-37.14306640625
185,10,1,-44.021240234375
186,10,1,-37.202880859375
187,10,1,-67.81103515625
188,10,1,-83.614013671875
189,10,1,-104.619873046875
190,10,1,-44.010986328125
191,10,1,-39.46826171875
192,10,1,-29.733154296875
193,10,1,-34.696533203125
194,10,1,-40.596435546875
195,10,1,-28.750244140625
196,10,1,-39.465087890625
197,10,1,-52.152099609375
198,10,1,-40.57275390625
199,10,1,-29.178466796875
200,10,1,-28.556884765625
201,10,1,-41.2666015625
202,10,1,-31.905029296875
203,10,1,-53.917236328125
204,10,1,-67.357666015625
205,10,1,-89.567626953125
206,10,1,-50.3564453125
207,10,1,-35.935791015625
208,10,1,-40.005615234375
209,10,1,-29.404541015625
210,10,1,-38.04833984375
211,10,1,-46.73828125
212,10,1,-35.180908203125
213,10,1,-50.017822265625
214,10,1,-30.65283203125
215,10,1,-31.298828125
216,10,1,-26.006103515625
217,10,1,-36.39013671875
218,10,1,-43.681396484375
219,10,1,-29.134521484375
220,10,1,-31.04931640625
221,10,1,-35.184326171875
